customerID,Contract,PaperlessBilling,PaymentMethod,pago_mensual,pago_total,pago_por_dia,deja_de_pagar
0002-ORFBO,One year,Yes,Mailed check,65.6,593.3,2.1866666666666665,0.0
0003-MKNFE,Month-to-month,No,Mailed check,59.9,542.4,1.9966666666666666,0.0
0004-TLHLJ,Month-to-month,Yes,Electronic check,73.9,280.85,2.4633333333333334,1.0
0011-IGKFF,Month-to-month,Yes,Electronic check,98.0,1237.85,3.2666666666666666,1.0
0013-EXCHZ,Month-to-month,Yes,Mailed check,83.9,267.4,2.796666666666667,1.0
0013-MHZWF,Month-to-month,Yes,Credit card (automatic),69.4,571.45,2.3133333333333335,0.0
0013-SMEOE,Two year,Yes,Bank transfer (automatic),109.7,7904.25,3.6566666666666667,0.0
0014-BMAQU,Two year,Yes,Credit card (automatic),84.65,5377.8,2.8216666666666668,0.0
0015-UOCOJ,Month-to-month,Yes,Electronic check,48.2,340.35,1.6066666666666667,0.0
0016-QLJIS,Two year,Yes,Mailed check,90.45,5957.9,3.015,0.0
0017-DINOC,Two year,No,Credit card (automatic),45.2,2460.55,1.5066666666666668,0.0
0017-IUDMW,Two year,Yes,Credit card (automatic),116.8,8456.75,3.893333333333333,0.0
0018-NYROU,Month-to-month,Yes,Electronic check,68.95,351.5,2.2983333333333333,0.0
0019-EFAEP,Two year,Yes,Bank transfer (automatic),101.3,7261.25,3.3766666666666665,0.0
0019-GFNTW,Two year,No,Bank transfer (automatic),45.05,2560.1,1.5016666666666665,0.0
0020-INWCK,Two year,Yes,Credit card (automatic),95.75,6849.4,3.191666666666667,0.0
0020-JDNXP,One year,No,Mailed check,61.25,1993.2,2.0416666666666665,0.0
0021-IKXGC,Month-to-month,Yes,Electronic check,72.1,72.1,2.4033333333333333,0.0
0022-TCJCI,One year,No,Credit card (automatic),62.7,2791.5,2.0900000000000003,1.0
0023-HGHWL,Month-to-month,Yes,Electronic check,25.1,25.1,0.8366666666666667,1.0
0023-UYUPN,One year,No,Electronic check,25.2,1306.3,0.84,0.0
0023-XUOPT,Month-to-month,No,Electronic check,94.1,1215.6,3.1366666666666663,1.0
0027-KWYKW,Month-to-month,Yes,Electronic check,83.75,1849.95,2.7916666666666665,0.0
0030-FNXPP,Month-to-month,No,Mailed check,19.85,57.2,0.6616666666666667,0.0
0031-PVLZI,Month-to-month,No,Mailed check,20.35,76.35,0.6783333333333333,1.0
0032-PGELS,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1.0166666666666666,1.0
0036-IHMOT,One year,Yes,Bank transfer (automatic),103.7,5656.75,3.4566666666666666,0.0
0040-HALCW,Two year,No,Credit card (automatic),20.4,1090.6,0.6799999999999999,0.0
0042-JVWOJ,One year,Yes,Bank transfer (automatic),19.6,471.85,0.6533333333333334,0.0
0042-RLHYP,Two year,No,Bank transfer (automatic),19.7,1396.9,0.6566666666666666,0.0
0047-ZHDTW,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,2.6333333333333333,
0048-LUMLS,One year,No,Credit card (automatic),91.2,3247.55,3.04,0.0
0048-PIHNL,One year,No,Bank transfer (automatic),20.45,900.9,0.6816666666666666,0.0
0052-DCKON,One year,No,Bank transfer (automatic),115.8,7942.15,3.86,0.0
